Community #,Community_Name,Crime_Count,Total_Population,crime_rate,NHWhite_count,NHW_P,NHBlack_count,NHB_P,HISP_count,Hisp_P,Poverty_count,Poverty_P
1,Rogers Park,4428,63484,0.0697498582,20170,0.3177178502,18767,0.2956177935,17639,0.2778495369,12993,0.2046657425
2,West Ridge,3804,73199,0.0519679231,36403,0.4973155371,4962,0.0677878113,11353,0.1550977472,10314,0.1409035643
3,Uptown,4287,63551,0.0674576325,26784,0.4214567827,13415,0.2110903054,12674,0.1994303788,15330,0.2412235842
4,Lincoln Square,2217,44574,0.0497375151,23716,0.5320590479,1342,0.0301072374,11831,0.2654237897,4991,0.1119711042
5,North Center,1722,31895,0.0539896536,21938,0.6878194074,1333,0.0417933845,6496,0.2036682866,2731,0.0856247061
6,Lake View,6832,94817,0.0720545894,75363,0.7948258224,4193,0.0442220277,8268,0.0871995528,8203,0.0865140217
7,Lincoln Park,4479,64320,0.069636194,54341,0.8448538557,3323,0.0516635572,3254,0.050590796,5305,0.0824782338
8,Near North Side,10105,72811,0.1387839749,50397,0.6921618986,13884,0.1906854733,2805,0.0385243988,10792,0.1482193625
9,Edison Park,298,11259,0.0264677147,10503,0.932853717,19,0.0016875389,463,0.0411226574,270,0.0239808153
10,Norwood Park,1229,37452,0.032815337,33085,0.8833974154,332,0.0088646801,2404,0.0641888284,1611,0.0430150593
11,Jefferson Park,1337,25859,0.0517034688,21101,0.8160021656,81,0.0031323717,2881,0.1114118875,1270,0.0491124947
12,Forest Glen,443,18165,0.0243875585,14793,0.8143682907,71,0.0039086155,1389,0.0764657308,463,0.0254885769
13,North Park,917,18514,0.0495300853,10336,0.5582802204,452,0.024413957,2652,0.1432429513,1841,0.0994382629
14,Albany Park,689,57655,0.0119503946,15866,0.275188622,1907,0.0330760558,26741,0.4638105975,10059,0.1744688232
15,Portage Park,3973,65340,0.0608050199,45418,0.6951025406,336,0.0051423324,15022,0.2299051117,5194,0.0794918886
16,Irving Park,3490,58643,0.0595126443,25912,0.4418600686,1121,0.019115666,25401,0.4331463261,6541,0.1115393142
17,Dunning,1830,42164,0.0434019543,34394,0.8157195712,234,0.0055497581,5441,0.129043734,2166,0.0513708377
18,Montclare,634,12646,0.0501344299,6892,0.5449944647,264,0.0208761664,4865,0.3847066266,693,0.0547999367
19,Belmont Cragin,5706,78144,0.0730190418,21881,0.2800087019,2000,0.0255937756,50881,0.651118448,8705,0.1113969083
20,Hermosa,1965,26908,0.0730266092,3086,0.1146870819,649,0.024119221,22574,0.8389326594,4457,0.1656384718
21,Avondale,2671,43083,0.0619966112,12757,0.2961028712,669,0.0155281666,26700,0.6197340018,7476,0.1735255205
22,Logan Square,5854,82715,0.0707731367,21742,0.2628543795,4290,0.0518648371,53833,0.6508251224,16249,0.1964456265
23,Humboldt Park,10256,65836,0.1557810317,2184,0.0331733398,31207,0.4740111793,31607,0.4800868826,20352,0.309131782
24,West Town,8208,87435,0.0938754503,34445,0.3939497913,7979,0.0912563619,40966,0.4685309087,18025,0.2061531423
25,Austin,20226,117527,0.1720966246,5662,0.0481761638,105369,0.8965514307,4841,0.0411905349,27852,0.236983842
26,West Garfield Park,6673,23019,0.2898909596,133,0.0057778357,22564,0.98023372,201,0.0087319171,8161,0.3545332117
27,East Garfield Park,6271,20881,0.3003208659,235,0.0112542503,20296,0.9719841004,207,0.0099133183,7179,0.3438053733
28,Near West Side,8505,46419,0.1832223874,11731,0.2527197915,24546,0.5287920894,4415,0.0951119154,16149,0.3478963356
29,North Lawndale,9195,41768,0.2201446083,383,0.0091696993,39164,0.9376556215,1896,0.0453936028,18485,0.4425636851
30,South Lawndale,5105,91071,0.0560551657,3210,0.0352472247,11759,0.129119039,75613,0.8302642993,21057,0.2312152057
31,Lower West Side,3077,44031,0.0698825827,3587,0.0814653312,774,0.0175785242,39144,0.8890100157,11841,0.2689241671
32,Loop,7780,16388,0.4747376129,10169,0.620515011,3221,0.1965462534,975,0.0594947523,1754,0.1070295338
33,Near South Side,1812,9509,0.1905563151,2393,0.2516563256,6052,0.6364496793,377,0.0396466505,3058,0.3215900726
34,Armour Square,1293,12032,0.1074634309,2062,0.1713763298,2046,0.1700465426,448,0.0372340426,3746,0.3113364362
35,Douglas,2788,26470,0.105326785,1745,0.0659236872,22635,0.8551190026,295,0.0111446921,9699,0.3664148092
36,Oakland,712,6110,0.1165302782,40,0.0065466448,5957,0.9749590835,58,0.009492635,3178,0.5201309329
37,Fuller Park,1076,3420,0.314619883,18,0.0052631579,3225,0.9429824561,116,0.0339181287,1174,0.3432748538
38,Grand Boulevard,3995,28006,0.142648004,173,0.0061772477,27370,0.9772905806,236,0.0084267657,12762,0.4556880668
39,Kenwood,1595,18363,0.0868594456,2915,0.1587431248,13900,0.7569569242,301,0.0163916571,4368,0.2378696291
40,Washington Park,3371,14146,0.2383005797,74,0.0052311608,13798,0.9753994062,134,0.0094726424,7276,0.5143503464
